student_id,ks,mks,mir,mer,ksorg,ksela,kskrp,kswie,mkszp,mkskon,mksreg,mirauf,mirans,mirzei,merlms,merlit,merlu
34,3.25,3.3333,3,3.3333,3.6667,3.6667,3.6667,2,3,3.3333,3.6667,3,4,2,2.6667,3.3333,4
39,2.9167,2.5556,2.4444,3.3333,3.6667,3,3.3333,1.6667,2.6667,2.3333,2.6667,3,2.6667,1.6667,3.6667,3,3.3333
37,2,2.1111,3.2222,2.2222,1,2.6667,3.3333,1,2.3333,3,1,5,3.6667,1,2.3333,1.6667,2.6667
25,3.0833,3.3333,3.8889,3.4444,3.3333,2.3333,3,3.6667,3.6667,3.3333,3,4.3333,3.6667,3.6667,3.3333,3.6667,3.3333
23,2.4167,2.1111,2.2222,1.7778,1,2.6667,3.3333,2.6667,2,2,2.3333,2.3333,3.3333,1,2,1,2.3333
29,3.4167,3.8889,3.5556,3.3333,4.3333,3,3.3333,3,3,4.3333,4.3333,2.6667,4.3333,3.6667,3.3333,3.6667,3
19,3.5833,3.7778,3.3333,3.4444,3.6667,3.6667,3.3333,3.6667,3,4.3333,4,2.3333,4.6667,3,4.6667,2.3333,3.3333
45,2.5833,3.5556,3.8889,3.1111,1.6667,4,3,1.6667,3.3333,4.3333,3,5,4,2.6667,3.3333,2,4
47,2.5833,3.5556,3.8889,4,3,2.6667,2.6667,2,2.6667,3.6667,4.3333,3.3333,4,4.3333,3.3333,4,4.6667
33,1.9167,2.7778,3.1111,2.2222,1.3333,2.6667,2.6667,1,2.3333,2,4,3,4.3333,2,2.3333,1.6667,2.6667
36,2.4167,2.6667,3.4444,2.3333,3,2,1.3333,3.3333,2.6667,2.6667,2.6667,4,4.3333,2,1,2,4
30,3,3.4444,3.1111,4,1.3333,3.6667,4.6667,2.3333,2,4.3333,4,1.6667,4.6667,3,4,3.3333,4.6667
43,2.5833,2.5556,2.8889,2.7778,2.3333,3,3.3333,1.6667,2.6667,3,2,3,4,1.6667,4.3333,2,2
21,2.6667,2.6667,2.5556,3.3333,2,4,3,1.6667,3,2.6667,2.3333,2.6667,3,2,3.3333,3,3.6667
38,2.3333,3.5556,2.6667,3.4444,1.3333,2.6667,3.3333,2,3,5,2.6667,2,5,1,2,4.3333,4
46,3.0833,3.3333,3.2222,4.2222,3.6667,3,2,3.6667,2.6667,3.6667,3.6667,3,3.6667,3,5,4.3333,3.3333
41,2.1667,2.7778,2.3333,2.4444,1.6667,2.3333,3,1.6667,3.3333,2.6667,2.3333,1.6667,3.6667,1.6667,2.3333,1.3333,3.6667
48,2.8333,3.3333,2.8889,3.4444,1.3333,4.3333,3.6667,2,2,4.3333,3.6667,2.3333,4.3333,2,3.6667,3.3333,3.3333
22,3,2.5556,3.7778,3.6667,2.6667,3,4,2.3333,2.3333,4,1.3333,3.6667,4.3333,3.3333,3,4,4
18,3.0833,3.1111,3.3333,3.5556,2.6667,4.3333,3.3333,2,3.3333,3.3333,2.6667,4,4,2,3.3333,3.6667,3.6667
51,3.0833,3,3.1111,2.8889,2.6667,3.3333,3,3.3333,3,2.6667,3.3333,2.6667,4,2.6667,2.6667,3.3333,2.6667
24,3.25,3.6667,3.4444,3.4444,3,4,3.3333,2.6667,3.6667,4,3.3333,2.6667,4,3.6667,3.3333,3,4
49,2.5833,2.5556,3.1111,1.7778,1.3333,2.6667,3.3333,3,2.6667,3,2,5,3.3333,1,1.6667,1.6667,2
53,2.8333,2.8889,2.7778,3.3333,3.3333,2.6667,3.3333,2,3,2.6667,3,3,3,2.3333,3.3333,4,2.6667
31,3.5833,4.1111,4,3.3333,3,4.6667,4.3333,2.3333,4,4.3333,4,4,4.6667,3.3333,1,4.6667,4.3333
26,2.6667,2.7778,2.4444,2.8889,2,3,2.6667,3,1.6667,2.3333,4.3333,3.6667,1,2.6667,1.6667,4,3